year,supply_scenario,allocation_scenario,combined_scenario,usable_compute_flop_year,inference_share,training_share,ai_rnd_experiment_share,post_training_share,safety_eval_share,reserved_idle_fragmented_share,inference_compute_flop_year,training_compute_flop_year,ai_rnd_experiment_compute_flop_year,post_training_compute_flop_year,safety_eval_compute_flop_year,reserved_idle_fragmented_compute_flop_year,frontier_lab_training_share,frontier_lab_training_compute_flop_year,largest_run_concentration,cluster_contiguity_factor,largest_frontier_run_flop,frontier_run_share_of_total_compute,binding_constraint
2024,base_input_case,allocation_base,base_input_case × allocation_base,3.972241178181817e+28,0.55,0.3,0.08,0.04,0.01,0.02,2.1847326479999998e+28,1.191672353454545e+28,3.1777929425454537e+27,1.5888964712727269e+27,3.972241178181817e+26,7.944482356363634e+26,0.65,7.745870297454544e+27,0.2,0.9,1.394256653541818e+27,0.035100000000000006,capex
2024,base_input_case,allocation_inference_heavy,base_input_case × allocation_inference_heavy,3.972241178181817e+28,0.55,0.3,0.08,0.04,0.01,0.02,2.1847326479999998e+28,1.191672353454545e+28,3.1777929425454537e+27,1.5888964712727269e+27,3.972241178181817e+26,7.944482356363634e+26,0.65,7.745870297454544e+27,0.15,0.85,9.875984629254542e+26,0.024862499999999996,capex
2024,base_input_case,allocation_training_race,base_input_case × allocation_training_race,3.972241178181817e+28,0.55,0.3,0.08,0.04,0.01,0.02,2.1847326479999998e+28,1.191672353454545e+28,3.1777929425454537e+27,1.5888964712727269e+27,3.972241178181817e+26,7.944482356363634e+26,0.7,8.341706474181816e+27,0.2,0.95,1.584924230094545e+27,0.0399,capex
2024,base_input_case,allocation_rnd_acceleration,base_input_case × allocation_rnd_acceleration,3.972241178181817e+28,0.55,0.3,0.08,0.04,0.01,0.02,2.1847326479999998e+28,1.191672353454545e+28,3.1777929425454537e+27,1.5888964712727269e+27,3.972241178181817e+26,7.944482356363634e+26,0.65,7.745870297454544e+27,0.2,0.9,1.394256653541818e+27,0.035100000000000006,capex
2025,base_input_case,allocation_base,base_input_case × allocation_base,1.1706515063946938e+29,0.5583333333333333,0.29,0.08333333333333334,0.04,0.01,0.018333333333333333,6.536137577370374e+28,3.394889368544612e+28,9.755429219955782e+27,4.6826060255787753e+27,1.1706515063946938e+27,2.146194428390272e+27,0.6416666666666667,2.178387344816126e+28,0.18333333333333335,0.9,3.5943391189466087e+27,0.030703750000000005,capex
2025,base_input_case,allocation_inference_heavy,base_input_case × allocation_inference_heavy,1.1706515063946938e+29,0.5750000000000001,0.27999999999999997,0.07666666666666666,0.03833333333333333,0.01,0.02,6.73124616176949e+28,3.2778242179051424e+28,8.974994882359318e+27,4.487497441179659e+27,1.1706515063946938e+27,2.3413030127893876e+27,0.6333333333333333,2.07595533800659e+28,0.13666666666666666,0.85,2.4115681176509883e+27,0.020600222222222214,capex
2025,base_input_case,allocation_training_race,base_input_case × allocation_training_race,1.1706515063946938e+29,0.5416666666666667,0.30333333333333334,0.08333333333333334,0.04,0.011666666666666667,0.02,6.341028992971259e+28,3.5509762360639045e+28,9.755429219955782e+27,4.6826060255787753e+27,1.3657600907938093e+27,2.3413030127893876e+27,0.7,2.485683365244733e+28,0.2,0.95,4.722798393964993e+27,0.040343333333333335,capex
2025,base_input_case,allocation_rnd_acceleration,base_input_case × allocation_rnd_acceleration,1.1706515063946938e+29,0.55,0.2833333333333333,0.09666666666666666,0.04,0.01,0.02,6.438583285170816e+28,3.3168459347849655e+28,1.1316297895148706e+28,4.6826060255787753e+27,1.1706515063946938e+27,2.3413030127893876e+27,0.6416666666666667,2.128309474820353e+28,0.18666666666666668,0.8916666666666667,3.54245288142321e+27,0.030260524691358027,capex
2026,base_input_case,allocation_base,base_input_case × allocation_base,2.4522490804841943e+29,0.5666666666666667,0.27999999999999997,0.08666666666666667,0.04,0.01,0.016666666666666666,1.3896078122743767e+29,6.866297425355743e+28,2.125282536419635e+28,9.808996321936777e+27,2.4522490804841943e+27,4.08708180080699e+27,0.6333333333333333,4.348655036058637e+28,0.16666666666666669,0.9,6.522982554087957e+27,0.0266,capex
2026,base_input_case,allocation_inference_heavy,base_input_case × allocation_inference_heavy,2.4522490804841943e+29,0.6,0.26,0.07333333333333333,0.03666666666666667,0.01,0.02,1.4713494482905165e+29,6.375847609258905e+28,1.7983159923550758e+28,8.991579961775379e+27,2.4522490804841943e+27,4.9044981609683885e+27,0.6166666666666667,3.931772692376325e+28,0.12333333333333334,0.85,4.1218083725078475e+27,0.01680827777777778,capex
2026,base_input_case,allocation_training_race,base_input_case × allocation_training_race,2.4522490804841943e+29,0.5333333333333333,0.30666666666666664,0.08666666666666667,0.04,0.013333333333333334,0.02,1.3078661762582368e+29,7.520230513484862e+28,2.125282536419635e+28,9.808996321936777e+27,3.2696654406455923e+27,4.9044981609683885e+27,0.7,5.2641613594394035e+28,0.2,0.95,1.0001906582934866e+28,0.040786666666666666,capex
2026,base_input_case,allocation_rnd_acceleration,base_input_case × allocation_rnd_acceleration,2.4522490804841943e+29,0.55,0.26666666666666666,0.11333333333333334,0.04,0.01,0.02,1.3487369942663069e+29,6.539330881291184e+28,2.7792156245487537e+28,9.808996321936777e+27,2.4522490804841943e+27,4.9044981609683885e+27,0.6333333333333333,4.14157622481775e+28,0.17333333333333334,0.8833333333333333,6.341213375332066e+27,0.025858765432098762,capex
