year,supply_scenario,allocation_scenario,combined_scenario,largest_frontier_run_flop,frontier_run_share_of_total_compute,training_compute_flop_year,frontier_lab_training_compute_flop_year
2024,base_input_case,allocation_base,base_input_case × allocation_base,1.394256653541818e+27,0.035100000000000006,1.191672353454545e+28,7.745870297454544e+27
2024,base_input_case,allocation_inference_heavy,base_input_case × allocation_inference_heavy,9.875984629254542e+26,0.024862499999999996,1.191672353454545e+28,7.745870297454544e+27
2024,base_input_case,allocation_training_race,base_input_case × allocation_training_race,1.584924230094545e+27,0.0399,1.191672353454545e+28,8.341706474181816e+27
2024,base_input_case,allocation_rnd_acceleration,base_input_case × allocation_rnd_acceleration,1.394256653541818e+27,0.035100000000000006,1.191672353454545e+28,7.745870297454544e+27
2025,base_input_case,allocation_base,base_input_case × allocation_base,3.5943391189466087e+27,0.030703750000000005,3.394889368544612e+28,2.178387344816126e+28
2025,base_input_case,allocation_inference_heavy,base_input_case × allocation_inference_heavy,2.4115681176509883e+27,0.020600222222222214,3.2778242179051424e+28,2.07595533800659e+28
2025,base_input_case,allocation_training_race,base_input_case × allocation_training_race,4.722798393964993e+27,0.040343333333333335,3.5509762360639045e+28,2.485683365244733e+28
2025,base_input_case,allocation_rnd_acceleration,base_input_case × allocation_rnd_acceleration,3.54245288142321e+27,0.030260524691358027,3.3168459347849655e+28,2.128309474820353e+28
2026,base_input_case,allocation_base,base_input_case × allocation_base,6.522982554087957e+27,0.0266,6.866297425355743e+28,4.348655036058637e+28
2026,base_input_case,allocation_inference_heavy,base_input_case × allocation_inference_heavy,4.1218083725078475e+27,0.01680827777777778,6.375847609258905e+28,3.931772692376325e+28
2026,base_input_case,allocation_training_race,base_input_case × allocation_training_race,1.0001906582934866e+28,0.040786666666666666,7.520230513484862e+28,5.2641613594394035e+28
2026,base_input_case,allocation_rnd_acceleration,base_input_case × allocation_rnd_acceleration,6.341213375332066e+27,0.025858765432098762,6.539330881291184e+28,4.14157622481775e+28
2027,base_input_case,allocation_base,base_input_case × allocation_base,1.002483834475544e+28,0.022781250000000006,1.188128989008052e+29,7.425806181300324e+28
2027,base_input_case,allocation_inference_heavy,base_input_case × allocation_inference_heavy,5.92480322518682e+27,0.013464000000000004,1.056114656896046e+29,6.336687941376277e+28
2027,base_input_case,allocation_training_race,base_input_case × allocation_training_race,1.8143169709926657e+28,0.041229999999999996,1.3641480984907261e+29,9.549036689435083e+28
2027,base_input_case,allocation_rnd_acceleration,base_input_case × allocation_rnd_acceleration,9.626045049833754e+27,0.021875000000000002,1.1001194342667146e+29,6.875746464166966e+28
2028,base_input_case,allocation_base,base_input_case × allocation_base,1.4130625218119698e+28,0.019240000000000007,1.9095439483945533e+29,1.1775521015099747e+29
2028,base_input_case,allocation_inference_heavy,base_input_case × allocation_inference_heavy,7.74446557959462e+27,0.010544722222222224,1.6157679563338526e+29,9.42531307861414e+28
2028,base_input_case,allocation_training_race,base_input_case × allocation_training_race,3.060656210619065e+28,0.04167333333333334,2.301245271142154e+29,1.6108716897995078e+29
2028,base_input_case,allocation_rnd_acceleration,base_input_case × allocation_rnd_acceleration,1.3432816565373043e+28,0.018289876543209876,1.7136932870207528e+29,1.056777526996131e+29
2029,base_input_case,allocation_base,base_input_case × allocation_base,1.880274261399727e+28,0.01596875,2.943677904343995e+29,1.7907373918092635e+29
2029,base_input_case,allocation_inference_heavy,base_input_case × allocation_inference_heavy,9.452476826171274e+27,0.008027777777777778,2.354942323475196e+29,1.3344673166359443e+29
2029,base_input_case,allocation_training_race,base_input_case × allocation_training_race,4.9591160428515165e+28,0.04211666666666666,3.728658678835727e+29,2.6100610751850085e+29
2029,base_input_case,allocation_rnd_acceleration,base_input_case × allocation_rnd_acceleration,1.776146198246373e+28,0.01508441358024691,2.551187517098129e+29,1.551972406234695e+29
2030,base_input_case,allocation_base,base_input_case × allocation_base,2.3875986948934406e+28,0.012960000000000001,4.421479064617482e+29,2.6528874387704893e+29
2030,base_input_case,allocation_inference_heavy,base_input_case × allocation_inference_heavy,1.0851967679220536e+28,0.005890500000000002,3.316109298463112e+29,1.8238601141547117e+29
2030,base_input_case,allocation_training_race,base_input_case × allocation_training_race,7.840756207921668e+28,0.042559999999999994,5.8953054194899766e+29,4.1267137936429835e+29
2030,base_input_case,allocation_rnd_acceleration,base_input_case × allocation_rnd_acceleration,2.2549543229549157e+28,0.01224,3.684565887181235e+29,2.210739532308741e+29
2031,base_input_case,allocation_base,base_input_case × allocation_base,3.062513689565376e+28,0.01183803075,6.05360991614503e+29,3.601897900106293e+29
2031,base_input_case,allocation_inference_heavy,base_input_case × allocation_inference_heavy,1.3524591879356538e+28,0.005227879800000001,4.449661989645065e+29,2.4250657843565606e+29
2031,base_input_case,allocation_training_race,base_input_case × allocation_training_race,1.075831159103772e+29,0.04158584625,8.356051294507885e+29,5.807455649682979e+29
2031,base_input_case,allocation_rnd_acceleration,base_input_case × allocation_rnd_acceleration,2.9616605483623995e+28,0.01144818675,5.12228531366118e+29,3.047759761628402e+29
2032,base_input_case,allocation_base,base_input_case × allocation_base,3.725648204065915e+28,0.010775052,7.883468131077499e+29,4.651246197335724e+29
2032,base_input_case,allocation_inference_heavy,base_input_case × allocation_inference_heavy,1.5947442787194156e+28,0.0046122048,5.670564796038201e+29,3.0621049898606288e+29
2032,base_input_case,allocation_training_race,base_input_case × allocation_training_race,1.4038682961119533e+29,0.04060167,1.1271976362856425e+30,7.777663690370932e+29
