combined_scenario,supply_scenario,allocation_scenario,usable_compute_2024,usable_compute_2030,usable_compute_2040,largest_run_2024,largest_run_2030,largest_run_2040,largest_run_cagr_2024_2040,frontier_run_share_2024,frontier_run_share_2030,frontier_run_share_2040
base_input_case × allocation_base,base_input_case,allocation_base,3.972241178181817e+28,1.8422829435906177e+30,1.6459687966128955e+31,1.394256653541818e+27,2.3875986948934406e+28,6.925413711748757e+28,0.2764577288802883,0.035100000000000006,0.012960000000000001,0.0042074999999999994
base_input_case × allocation_inference_heavy,base_input_case,allocation_inference_heavy,3.972241178181817e+28,1.8422829435906177e+30,1.6459687966128955e+31,9.875984629254542e+26,1.0851967679220536e+28,1.9751625559354746e+28,0.20590723953763557,0.024862499999999996,0.005890500000000002,0.0012
base_input_case × allocation_rnd_acceleration,base_input_case,allocation_rnd_acceleration,3.972241178181817e+28,1.8422829435906177e+30,1.6459687966128955e+31,1.394256653541818e+27,2.2549543229549157e+28,9.125251008421893e+28,0.2986552658564423,0.035100000000000006,0.01224,0.005544
base_input_case × allocation_training_race,base_input_case,allocation_training_race,3.972241178181817e+28,1.8422829435906177e+30,1.6459687966128955e+31,1.584924230094545e+27,7.840756207921668e+28,5.33602509251943e+29,0.4386348774850153,0.0399,0.042559999999999994,0.032418749999999996
capex_rich × allocation_base,capex_rich,allocation_base,4.369465295999998e+28,3.5982165621684536e+30,2.891929195372396e+31,1.533682318895999e+27,4.6632886645703165e+28,1.2167792089529355e+29,0.31436889583802397,0.0351,0.012960000000000003,0.0042075
capex_rich × allocation_inference_heavy,capex_rich,allocation_inference_heavy,4.369465295999998e+28,3.5982165621684536e+30,2.891929195372396e+31,1.0863583092179992e+27,2.119529465945328e+28,3.4703150344468753e+28,0.2417230363785985,0.024862499999999996,0.005890500000000002,0.0012000000000000001
capex_rich × allocation_rnd_acceleration,capex_rich,allocation_rnd_acceleration,4.369465295999998e+28,3.5982165621684536e+30,2.891929195372396e+31,1.533682318895999e+27,4.404217072094187e+28,1.6032855459144567e+29,0.33722570613856107,0.0351,0.01224,0.005544000000000001
capex_rich × allocation_training_race,capex_rich,allocation_training_race,4.369465295999998e+28,3.5982165621684536e+30,2.891929195372396e+31,1.743416653103999e+27,1.5314009688588936e+29,9.375272960247883e+29,0.48136275307193244,0.0399,0.042559999999999994,0.03241874999999999
chip_bottleneck × allocation_base,chip_bottleneck,allocation_base,3.830375421818185e+28,1.1726992809245804e+30,6.535489610582096e+30,1.344461773058183e+27,1.519818268078256e+28,2.749807253652417e+28,0.20759724114973954,0.0351,0.01296,0.0042075
chip_bottleneck × allocation_inference_heavy,chip_bottleneck,allocation_inference_heavy,3.830375421818185e+28,1.1726992809245804e+30,6.535489610582096e+30,9.523270892495461e+26,6.907785114286242e+27,7.842587532698516e+27,0.14085270714414722,0.024862499999999996,0.005890500000000002,0.0012000000000000001
chip_bottleneck × allocation_rnd_acceleration,chip_bottleneck,allocation_rnd_acceleration,3.830375421818185e+28,1.1726992809245804e+30,6.535489610582096e+30,1.344461773058183e+27,1.4353839198516863e+28,3.6232754401067154e+28,0.22859729763906556,0.0351,0.01224,0.005544000000000002
chip_bottleneck × allocation_training_race,chip_bottleneck,allocation_training_race,3.830375421818185e+28,1.1726992809245804e+30,6.535489610582096e+30,1.5283197933054554e+27,4.991008139615014e+28,2.118724038130583e+29,0.3610254924749088,0.03989999999999999,0.04256,0.032418749999999996
power_datacenter_bottleneck × allocation_base,power_datacenter_bottleneck,allocation_base,3.4955722368e+28,9.479517930305075e+29,6.641512939285719e+30,1.2269458551168e+27,1.2285455237675377e+28,2.7944165692044666e+28,0.21574252887408352,0.0351,0.01296,0.0042075
power_datacenter_bottleneck × allocation_inference_heavy,power_datacenter_bottleneck,allocation_inference_heavy,3.4955722368e+28,9.479517930305075e+29,6.641512939285719e+30,8.690866473743999e+26,5.583910036846206e+27,7.969815527142864e+27,0.148547800536327,0.0248625,0.005890500000000002,0.0012000000000000001
power_datacenter_bottleneck × allocation_rnd_acceleration,power_datacenter_bottleneck,allocation_rnd_acceleration,3.4955722368e+28,9.479517930305075e+29,6.641512939285719e+30,1.2269458551168e+27,1.160292994669341e+28,3.682054773540003e+28,0.2368842315153752,0.0351,0.01224,0.005544
power_datacenter_bottleneck × allocation_training_race,power_datacenter_bottleneck,allocation_training_race,3.4955722368e+28,9.479517930305075e+29,6.641512939285719e+30,1.3947333224832e+27,4.03448283113784e+28,2.1530954760046892e+29,0.37020565938703287,0.0399,0.042559999999999994,0.03241875
