allocation_scenario,year,inference_share,training_share,ai_rnd_experiment_share,post_training_share,safety_eval_share,reserved_idle_fragmented_share,frontier_lab_training_share,largest_run_concentration,cluster_contiguity_factor
allocation_base,2024,0.55,0.3,0.08,0.04,0.01,0.02,0.65,0.2,0.9
allocation_base,2025,0.5583333333333333,0.29,0.08333333333333334,0.04,0.01,0.018333333333333333,0.6416666666666667,0.18333333333333335,0.9
allocation_base,2026,0.5666666666666667,0.27999999999999997,0.08666666666666667,0.04,0.01,0.016666666666666666,0.6333333333333333,0.16666666666666669,0.9
allocation_base,2027,0.575,0.27,0.09,0.04,0.01,0.015,0.625,0.15000000000000002,0.9
allocation_base,2028,0.5833333333333334,0.26,0.09333333333333334,0.04,0.01,0.013333333333333332,0.6166666666666667,0.13333333333333336,0.9
allocation_base,2029,0.5916666666666667,0.25,0.09666666666666668,0.04,0.01,0.011666666666666667,0.6083333333333333,0.11666666666666668,0.9
allocation_base,2030,0.6,0.24,0.1,0.04,0.01,0.01,0.6,0.1,0.9
allocation_base,2031,0.605,0.23399999999999999,0.1,0.04,0.01,0.011,0.595,0.095,0.895
allocation_base,2032,0.61,0.22799999999999998,0.1,0.04,0.01,0.012,0.59,0.09000000000000001,0.89
allocation_base,2033,0.615,0.22199999999999998,0.1,0.04,0.01,0.013000000000000001,0.585,0.085,0.885
allocation_base,2034,0.62,0.216,0.1,0.04,0.01,0.014,0.58,0.08,0.88
allocation_base,2035,0.625,0.21,0.1,0.04,0.01,0.015,0.575,0.07500000000000001,0.875
allocation_base,2036,0.63,0.204,0.1,0.04,0.01,0.016,0.5700000000000001,0.07,0.87
allocation_base,2037,0.635,0.19799999999999998,0.1,0.04,0.01,0.017,0.5650000000000001,0.065,0.865
allocation_base,2038,0.64,0.192,0.1,0.04,0.01,0.018000000000000002,0.56,0.060000000000000005,0.86
allocation_base,2039,0.645,0.186,0.1,0.04,0.01,0.019000000000000003,0.555,0.05500000000000001,0.855
allocation_base,2040,0.65,0.18,0.1,0.04,0.01,0.02,0.55,0.05,0.85
allocation_inference_heavy,2024,0.55,0.3,0.08,0.04,0.01,0.02,0.65,0.15,0.85
allocation_inference_heavy,2025,0.5750000000000001,0.27999999999999997,0.07666666666666666,0.03833333333333333,0.01,0.02,0.6333333333333333,0.13666666666666666,0.85
allocation_inference_heavy,2026,0.6,0.26,0.07333333333333333,0.03666666666666667,0.01,0.02,0.6166666666666667,0.12333333333333334,0.85
allocation_inference_heavy,2027,0.625,0.24,0.07,0.035,0.01,0.02,0.6000000000000001,0.11,0.85
allocation_inference_heavy,2028,0.65,0.21999999999999997,0.06666666666666667,0.03333333333333333,0.01,0.02,0.5833333333333334,0.09666666666666668,0.85
allocation_inference_heavy,2029,0.6749999999999999,0.19999999999999998,0.06333333333333332,0.03166666666666666,0.01,0.02,0.5666666666666667,0.08333333333333334,0.85
allocation_inference_heavy,2030,0.7,0.18,0.06,0.03,0.01,0.02,0.55,0.07,0.85
allocation_inference_heavy,2031,0.708,0.172,0.06,0.03,0.01,0.02,0.545,0.066,0.845
allocation_inference_heavy,2032,0.716,0.164,0.06,0.03,0.01,0.02,0.54,0.062000000000000006,0.84
