year,scenario,supply_scenario,allocation_scenario,historical_trend_frontier_run_flop,projected_largest_frontier_run_flop,gap_ratio,log10_gap
2024,base_input_case × allocation_base,base_input_case,allocation_base,1e+25,1.394256653541818e+27,139.4256653541818,2.144342725668244
2024,base_input_case × allocation_inference_heavy,base_input_case,allocation_inference_heavy,1e+25,9.875984629254542e+26,98.7598462925454,1.9945804053349119
2024,base_input_case × allocation_training_race,base_input_case,allocation_training_race,1e+25,1.584924230094545e+27,158.49242300945448,2.200008504889168
2024,base_input_case × allocation_rnd_acceleration,base_input_case,allocation_rnd_acceleration,1e+25,1.394256653541818e+27,139.4256653541818,2.144342725668244
2025,base_input_case × allocation_base,base_input_case,allocation_base,5.974398188263824e+25,3.5943391189466087e+27,60.16236289719305,1.7793248849815237
2025,base_input_case × allocation_inference_heavy,base_input_case,allocation_inference_heavy,5.974398188263824e+25,2.4115681176509883e+27,40.36503831278438,1.6060053690335556
2025,base_input_case × allocation_training_race,base_input_case,allocation_training_race,5.974398188263824e+25,4.722798393964993e+27,79.05061305157919,1.897905242312321
2025,base_input_case × allocation_rnd_acceleration,base_input_case,allocation_rnd_acceleration,5.974398188263824e+25,3.54245288142321e+27,59.293886510310685,1.7730099177874143
2026,base_input_case × allocation_base,base_input_case,allocation_base,3.5693433711930066e+26,6.522982554087957e+27,18.27502113339052,1.2618578878520366
2026,base_input_case × allocation_inference_heavy,base_input_case,allocation_inference_heavy,3.5693433711930066e+26,4.1218083725078475e+27,11.54780569942809,1.0624994679367643
2026,base_input_case × allocation_training_race,base_input_case,allocation_training_race,3.5693433711930066e+26,1.0001906582934866e+28,28.0216990711988,1.4474944648139483
2026,base_input_case × allocation_rnd_acceleration,base_input_case,allocation_rnd_acceleration,3.5693433711930066e+26,6.341213375332066e+27,17.76577010357117,1.2495840378586993
2027,base_input_case × allocation_base,base_input_case,allocation_base,2.1324678570146992e+27,1.002483834475544e+28,4.70105015265716,0.6721948844377894
2027,base_input_case × allocation_inference_heavy,base_input_case,allocation_inference_heavy,2.1324678570146992e+27,5.92480322518682e+27,2.7783786778765873,0.4437914374074882
2027,base_input_case × allocation_training_race,base_input_case,allocation_training_race,2.1324678570146992e+27,1.8143169709926657e+28,8.50806245460871,0.9298306692410792
2027,base_input_case × allocation_rnd_acceleration,base_input_case,allocation_rnd_acceleration,2.1324678570146992e+27,9.626045049833754e+27,4.514039927105641,0.6545653961340716
2028,base_input_case × allocation_base,base_input_case,allocation_base,1.274021210147279e+28,1.4130625218119698e+28,1.1091357903284966,0.04498471962094905
2028,base_input_case × allocation_inference_heavy,base_input_case,allocation_inference_heavy,1.274021210147279e+28,7.74446557959462e+27,0.6078757180737475,-0.21618520439842062
2028,base_input_case × allocation_training_race,base_input_case,allocation_training_race,1.274021210147279e+28,3.060656210619065e+28,2.4023589138404127,0.3806378917662768
2028,base_input_case × allocation_rnd_acceleration,base_input_case,allocation_rnd_acceleration,1.274021210147279e+28,1.3432816565373043e+28,1.0543636525344964,0.022990425914781
2029,base_input_case × allocation_base,base_input_case,allocation_base,7.611510009713589e+28,1.880274261399727e+28,0.24703038674325797,-0.6072496217070136
2029,base_input_case × allocation_inference_heavy,base_input_case,allocation_inference_heavy,7.611510009713589e+28,9.452476826171274e+27,0.1241866175582545,-0.9059252015325597
2029,base_input_case × allocation_training_race,base_input_case,allocation_training_race,7.611510009713589e+28,4.9591160428515165e+28,0.6515285451274236,-0.18606655198554933
2029,base_input_case × allocation_rnd_acceleration,base_input_case,allocation_rnd_acceleration,7.611510009713589e+28,1.776146198246373e+28,0.2333500443380757,-0.631992112259949
2030,base_input_case × allocation_base,base_input_case,allocation_base,4.547419161198483e+29,2.3875986948934406e+28,0.05250447804033494,-1.2798036545888891
2030,base_input_case × allocation_inference_heavy,base_input_case,allocation_inference_heavy,4.547419161198483e+29,1.0851967679220536e+28,0.023864014498193906,-1.622256495797364
2030,base_input_case × allocation_training_race,base_input_case,allocation_training_race,4.547419161198483e+29,7.840756207921668e+28,0.17242211307072952,-0.7634070368364719
2030,base_input_case × allocation_rnd_acceleration,base_input_case,allocation_rnd_acceleration,4.547419161198483e+29,2.2549543229549157e+28,0.04958756259364965,-1.3046272383139212
2031,base_input_case × allocation_base,base_input_case,allocation_base,2.716809279794042e+30,3.062513689565376e+28,0.011272464770871002,-1.947981113292648
2031,base_input_case × allocation_inference_heavy,base_input_case,allocation_inference_heavy,2.716809279794042e+30,1.3524591879356538e+28,0.004978116049567462,-2.3029349833603474
2031,base_input_case × allocation_training_race,base_input_case,allocation_training_race,2.716809279794042e+30,1.075831159103772e+29,0.039599068182854906,-1.4023150334635175
2031,base_input_case × allocation_rnd_acceleration,base_input_case,allocation_rnd_acceleration,2.716809279794042e+30,2.9616605483623995e+28,0.010901245701674427,-1.9625238717427154
2032,base_input_case × allocation_base,base_input_case,allocation_base,1.623130043905987e+31,3.725648204065915e+28,0.0022953479408836003,-2.639151472500461
2032,base_input_case × allocation_inference_heavy,base_input_case,allocation_inference_heavy,1.623130043905987e+31,1.5947442787194156e+28,0.000982511712297394,-3.0076622637964947
2032,base_input_case × allocation_training_race,base_input_case,allocation_training_race,1.623130043905987e+31,1.4038682961119533e+29,0.008649142447844841,-2.0630269501804253
2032,base_input_case × allocation_rnd_acceleration,base_input_case,allocation_rnd_acceleration,1.623130043905987e+31,3.6945582952731974e+28,0.002276193647665109,-2.6427907930085697
2033,base_input_case × allocation_base,base_input_case,allocation_base,9.69722519362851e+31,4.371497772495178e+28,0.0004507988300990925,-3.346017219693739
2033,base_input_case × allocation_inference_heavy,base_input_case,allocation_inference_heavy,9.69722519362851e+31,1.8086397601627742e+28,0.00018651106105601502,-3.729295407216447
2033,base_input_case × allocation_training_race,base_input_case,allocation_training_race,9.69722519362851e+31,1.772315467128448e+29,0.0018276521703269658,-2.7381064535044146
2033,base_input_case × allocation_rnd_acceleration,base_input_case,allocation_rnd_acceleration,9.69722519362851e+31,4.452383811776794e+28,0.00045913998312653397,-3.3380548860727295
2034,base_input_case × allocation_base,base_input_case,allocation_base,5.793508462797016e+32,4.993463425969162e+28,8.619066422418576e-05,-4.064539772406071
2034,base_input_case × allocation_inference_heavy,base_input_case,allocation_inference_heavy,5.793508462797016e+32,1.9904758219068835e+28,3.4357002059955786e-05,-4.4639847390672625
2034,base_input_case × allocation_training_race,base_input_case,allocation_training_race,5.793508462797016e+32,2.1857001206048728e+29,0.00037726709724173786,-3.423351069459625
2034,base_input_case × allocation_rnd_acceleration,base_input_case,allocation_rnd_acceleration,5.793508462797016e+32,5.233048792366672e+28,9.03260748814068e-05,-4.04418686161949
2035,base_input_case × allocation_base,base_input_case,allocation_base,3.4612726463825627e+33,5.583714013005552e+28,1.613196816159857e-05,-4.79231264379656
2035,base_input_case × allocation_inference_heavy,base_input_case,allocation_inference_heavy,3.4612726463825627e+33,2.1363775354108205e+28,6.172231296611628e-06,-5.209557807663984
2035,base_input_case × allocation_training_race,base_input_case,allocation_training_race,3.4612726463825627e+33,2.6489694180954286e+29,7.653166013558376e-05,-4.11615886579111
2035,base_input_case × allocation_rnd_acceleration,base_input_case,allocation_rnd_acceleration,3.4612726463825627e+33,6.033449889971441e+28,1.7431304916927322e-05,-4.758670100152891
2036,base_input_case × allocation_base,base_input_case,allocation_base,2.0679021027635115e+34,6.1330416195982535e+28,2.965827836531601e-06,-5.527854062955115
2036,base_input_case × allocation_inference_heavy,base_input_case,allocation_inference_heavy,2.0679021027635115e+34,2.2423456324684734e+28,1.0843577311865192e-06,-5.964827419780441
2036,base_input_case × allocation_training_race,base_input_case,allocation_training_race,2.0679021027635115e+34,3.167507309738688e+29,1.5317491604199646e-05,-4.814812349040778
2036,base_input_case × allocation_rnd_acceleration,base_input_case,allocation_rnd_acceleration,2.0679021027635115e+34,6.849244393489328e+28,3.3121705250631094e-06,-5.479887311927168
