release_year,hardware_type,n
2011,"NVIDIA GeForce GTX 580,NVIDIA GeForce GTX 480",3
2011,NVIDIA GeForce GTX 285,1
2011,"NVIDIA GeForce GTX 480,NVIDIA GeForce GTX 580",1
2012,NVIDIA GeForce GTX 580,5
2013,NVIDIA GeForce GTX 580,1
2014,NVIDIA GeForce GTX 780,1
2014,NVIDIA GeForce GTX TITAN,1
2014,NVIDIA GeForce GTX Titan Black,1
2014,NVIDIA Quadro K6000,1
2014,NVIDIA Tesla C2075,1
2015,NVIDIA GeForce GTX TITAN X,1
2015,NVIDIA Tesla K20m,1
2015,NVIDIA Tesla K40c,1
2015,NVIDIA Tesla K40s,1
2015,NVIDIA Tesla K40t,1
2016,NVIDIA GeForce GTX TITAN X,3
2016,NVIDIA Tesla K80,2
2016,NVIDIA Tesla K40c,1
2017,Google TPU v1,2
2017,NVIDIA M40,2
2017,"Google TPU v2,Google TPU v1",1
2017,NVIDIA GeForce GTX TITAN X,1
2017,NVIDIA P100,1
2017,NVIDIA Tesla K40t,1
2017,NVIDIA Tesla K80,1
2018,NVIDIA V100,5
2018,Google TPU v2,3
2018,"NVIDIA M40,NVIDIA GeForce GTX TITAN X",1
2018,NVIDIA P100,1
2018,NVIDIA Quadro P600,1
2018,NVIDIA Tesla V100 DGXS 16 GB,1
2019,Google TPU v3,8
2019,NVIDIA Tesla V100 DGXS 32 GB,3
2019,NVIDIA V100,3
2019,NVIDIA GeForce GTX 1080 Ti,2
2019,NVIDIA P100,2
2019,NVIDIA Tesla V100 DGXS 16 GB,2
2019,NVIDIA TITAN RTX,1
2019,NVIDIA Tesla V100 SXM3 32 GB,1
2019,NVIDIA Tesla V100S PCIe 32 GB,1
2020,Google TPU v3,8
2020,NVIDIA V100,7
2020,NVIDIA Tesla V100 DGXS 32 GB,3
2020,NVIDIA GeForce GTX 1080 Ti,1
2020,NVIDIA GeForce RTX 2080 Ti 11GB,1
2020,NVIDIA TITAN Xp,1
2021,Google TPU v3,11
2021,NVIDIA V100,9
2021,NVIDIA A100,8
2021,NVIDIA Tesla V100 DGXS 32 GB,3
2021,NVIDIA A100 SXM4 40 GB,2
2021,NVIDIA Tesla V100 DGXS 16 GB,2
2021,Google TPU v4,1
2021,NVIDIA A100 SXM4 80 GB,1
2021,NVIDIA GeForce RTX 2080 Ti 11GB,1
2021,NVIDIA Tesla K80,1
2021,"NVIDIA Tesla V100 DGXS 32 GB,Huawei Ascend 910",1
2021,"NVIDIA V100,NVIDIA Quadro RTX 6000",1
2022,Google TPU v4,10
2022,NVIDIA A100,8
2022,NVIDIA A100 SXM4 80 GB,6
2022,NVIDIA A100 SXM4 40 GB,5
2022,NVIDIA V100,3
2022,Google TPU v3,2
2022,"Google TPU v4,Google TPU v3",1
2022,NVIDIA A100 PCIe,1
2022,NVIDIA Quadro RTX 4000,1
2022,NVIDIA Quadro RTX 5000,1
2022,NVIDIA Quadro RTX 8000,1
2022,NVIDIA RTX A6000,1
2023,NVIDIA A100,11
2023,NVIDIA A100 SXM4 40 GB,8
2023,NVIDIA A100 SXM4 80 GB,8
2023,NVIDIA V100,8
2023,Google TPU v4,4
2023,NVIDIA GeForce RTX 3090,2
2023,Amazon Trainium1,1
2023,Cerebras CS-2,1
2023,Google TPU v3,1
2023,Huawei Ascend 910,1
2023,NVIDIA A800 PCIe 40 GB,1
2023,NVIDIA GeForce GTX 1080 Ti,1
2023,NVIDIA H100 SXM5 80GB,1
2023,NVIDIA RTX A6000,1
2024,NVIDIA H100 SXM5 80GB,14
2024,NVIDIA A100,6
2024,Google TPU v4,2
2024,"Amazon Trainium1,NVIDIA A100,NVIDIA H100 SXM5 80GB",1
2024,Google TPU v5e,1
2024,Google TPU v5p,1
2024,"NVIDIA A100,NVIDIA H100 SXM5 80GB",1
2024,NVIDIA H100 PCIe,1
2024,NVIDIA H800 SXM5,1
2025,NVIDIA H100 SXM5 80GB,8
2025,NVIDIA H800 SXM5,3
2025,"Google TPU v5p,Google TPU v6e Trillium",1
2025,Huawei Ascend 910B,1
2025,NVIDIA B200 GPUs,1
2025,NVIDIA H200 SXM,1
2026,Huawei Ascend 910C,1
2026,NVIDIA H800 SXM5,1
