trend_name,frontier_rule,start_year,end_year,n_models,slope_log10_per_year,annual_growth_multiplier,doubling_time_years,r_squared,standard_error,notes
training_compute,all_models_full,1950,2026,521,0.32569361500406774,2.1168672061078024,0.9242735558700513,0.7579253047217547,0.008079547882578142,"all models with known training_compute, full historical window."
training_compute,all_models_2018+,2018,2026,370,0.7991997824448687,6.297958324400163,0.37666426127280284,0.4969514758179244,0.04191595784666829,"all models with known training_compute, 2018+."
training_compute,frontier_rule_a_2018+,2018,2026,113,0.7762941645691686,5.974398188263281,0.3877782539187941,0.8426971802213676,0.03183444741179674,"frontier_rule_a == True, 2018+."
training_compute,frontier_rule_a_full,1950,2026,245,0.32977195877799736,2.1368397738167317,0.9128429135681446,0.8321798379259195,0.009500009955971972,"frontier_rule_a == True, full historical window."
training_compute,frontier_rule_b_2018+,2018,2026,264,0.8046852897865056,6.378011379804445,0.37409655611307213,0.4593724094615803,0.05393144613910909,"frontier_rule_b == True, 2018+."
training_compute,frontier_rule_b_full,1950,2026,378,0.30422154682776104,2.0147517739291416,0.9895091218979741,0.7462996089388181,0.009147449256975703,"frontier_rule_b == True, full historical window."
training_compute,frontier_rule_c_2018+,2019,2026,137,0.3006063926563808,1.9980501871194514,1.0014091616743648,0.29947212689713965,0.03956998031602304,"frontier_rule_c == True, 2018+."
training_compute,frontier_rule_c_full,2019,2026,137,0.3006063926563808,1.9980501871194514,1.0014091616743648,0.29947212689713965,0.03956998031602304,"frontier_rule_c == True, full historical window."
training_compute,epoch_frontier_flag_full,1950,2025,113,0.3116334454759998,2.04943168119794,0.9659746090609033,0.8909742434455954,0.010347002445017352,Epoch's own 'Frontier model' flag.
training_cost_2023usd,all_models_full,2012,2025,179,0.3625560230944892,2.3043902184798917,0.8302992544286786,0.35080280702931255,0.03707193696340695,"all models with known training_cost_2023usd, full historical window. cost variant: headline 2023 USD"
training_cost_2023usd,all_models_2018+,2018,2025,155,0.49501591738077577,3.1261939435451804,0.6081218504180405,0.2702770201459528,0.06575789448973135,"all models with known training_cost_2023usd, 2018+. cost variant: headline 2023 USD"
training_cost_2023usd,frontier_rule_a_2018+,2018,2025,74,0.6889802274969778,4.886301125478237,0.43692109533767665,0.7174173063124718,0.0509597590917655,"frontier_rule_a == True, 2018+. cost variant: headline 2023 USD"
training_cost_2023usd,frontier_rule_a_full,2012,2025,98,0.4992669612459726,3.1569446040184252,0.602943953897389,0.7305063881811764,0.030949913506613393,"frontier_rule_a == True, full historical window. cost variant: headline 2023 USD"
training_cost_2023usd,frontier_rule_b_2018+,2018,2025,121,0.4806518053761404,3.0244875796590014,0.6262953603771574,0.225898132137346,0.08156424771326508,"frontier_rule_b == True, 2018+. cost variant: headline 2023 USD"
training_cost_2023usd,frontier_rule_b_full,2012,2025,141,0.35606432217350925,2.2702010602850113,0.845437121659412,0.32453398763761965,0.04357051736208483,"frontier_rule_b == True, full historical window. cost variant: headline 2023 USD"
training_cost_2023usd,frontier_rule_c_2018+,2019,2025,51,0.48205732946006996,3.03429170234783,0.6244692845997195,0.4973261861708368,0.06923458890034138,"frontier_rule_c == True, 2018+. cost variant: headline 2023 USD"
training_cost_2023usd,frontier_rule_c_full,2019,2025,51,0.48205732946006996,3.03429170234783,0.6244692845997195,0.4973261861708368,0.06923458890034138,"frontier_rule_c == True, full historical window. cost variant: headline 2023 USD"
training_cost_2023usd,epoch_frontier_flag_full,2012,2025,56,0.5162066624864108,3.282514570231194,0.5831579046539443,0.9096903340644078,0.022133344993221078,Epoch's own 'Frontier model' flag. cost variant: headline 2023 USD
training_cost_cloud,all_models_full,2016,2025,25,0.4586061042694869,2.8747898595485313,0.6564020689246853,0.8042442566930785,0.04717796299223772,"all models with known training_cost_cloud, full historical window. cost variant: cloud-rental"
training_cost_cloud,all_models_2018+,2018,2025,23,0.4506352000986499,2.822508120580877,0.6680126088642916,0.7447135224542993,0.05757510658413501,"all models with known training_cost_cloud, 2018+. cost variant: cloud-rental"
training_cost_cloud,frontier_rule_a_2018+,2018,2025,22,0.5322842633535757,3.406310736035819,0.5655436697816082,0.8540271843708495,0.04920721366460586,"frontier_rule_a == True, 2018+. cost variant: cloud-rental"
training_cost_cloud,frontier_rule_a_full,2016,2025,24,0.5222785613462276,3.328729933024635,0.5763782355684769,0.8871128636127257,0.039721317824538915,"frontier_rule_a == True, full historical window. cost variant: cloud-rental"
training_cost_cloud,frontier_rule_b_2018+,2018,2024,19,0.5007101824639539,3.1674530226448585,0.6012060593268488,0.8306631702253126,0.0548308776495991,"frontier_rule_b == True, 2018+. cost variant: cloud-rental"
training_cost_cloud,frontier_rule_b_full,2017,2024,20,0.5049686129464648,3.1986639295402117,0.596136052709271,0.8576590310337848,0.048488166091297996,"frontier_rule_b == True, full historical window. cost variant: cloud-rental"
training_cost_cloud,frontier_rule_c_2018+,2019,2025,13,0.5129334770795869,3.2578679489028266,0.5868792136124764,0.8803298872303539,0.05702099993956925,"frontier_rule_c == True, 2018+. cost variant: cloud-rental"
training_cost_cloud,frontier_rule_c_full,2019,2025,13,0.5129334770795869,3.2578679489028266,0.5868792136124764,0.8803298872303539,0.05702099993956925,"frontier_rule_c == True, full historical window. cost variant: cloud-rental"
training_cost_cloud,epoch_frontier_flag_full,2016,2025,24,0.5222785613462276,3.328729933024635,0.5763782355684769,0.8871128636127257,0.039721317824538915,Epoch's own 'Frontier model' flag. cost variant: cloud-rental
training_cost_upfront,all_models_full,2012,2025,33,0.4131314514238067,2.5889964290622074,0.7286542688205372,0.9025407203728188,0.02438291404597121,"all models with known training_cost_upfront, full historical window. cost variant: upfront hardware"
training_cost_upfront,all_models_2018+,2018,2025,27,0.3967626308777874,2.493231647295316,0.7587155952615552,0.8353721854719998,0.03522673221357235,"all models with known training_cost_upfront, 2018+. cost variant: upfront hardware"
training_cost_upfront,frontier_rule_a_2018+,2018,2025,27,0.3967626308777874,2.493231647295316,0.7587155952615552,0.8353721854719998,0.03522673221357235,"frontier_rule_a == True, 2018+. cost variant: upfront hardware"
training_cost_upfront,frontier_rule_a_full,2012,2025,33,0.4131314514238067,2.5889964290622074,0.7286542688205372,0.9025407203728188,0.02438291404597121,"frontier_rule_a == True, full historical window. cost variant: upfront hardware"
training_cost_upfront,frontier_rule_b_2018+,2018,2025,24,0.37977998404412405,2.3976179649417273,0.7926431310529692,0.8225468664750185,0.03760817349748656,"frontier_rule_b == True, 2018+. cost variant: upfront hardware"
